"subject" "activity" "signal" "domain" "variable" "variablemean"
"80" 1 "sitting" "BodyAccJerkZ" "frequency" "standarddeviation" -0.988339184893617
"81" 1 "sitting" "BodyAccJerkZ" "time" "mean" -0.00336779235021277
"82" 1 "sitting" "BodyAccJerkZ" "time" "standarddeviation" -0.987910804468085
"83" 1 "sitting" "BodyAccMag" "frequency" "mean" -0.947782922553192
"84" 1 "sitting" "BodyAccMag" "frequency" "standarddeviation" -0.928444801702128
"85" 1 "sitting" "BodyAccMag" "time" "mean" -0.948536786170213
"86" 1 "sitting" "BodyAccMag" "time" "standarddeviation" -0.927078418723404
"87" 1 "sitting" "BodyAccX" "frequency" "mean" -0.979641238723404
"88" 1 "sitting" "BodyAccX" "frequency" "standarddeviation" -0.976412313191489
"89" 1 "sitting" "BodyAccX" "time" "mean" 0.261237565425532
"90" 1 "sitting" "BodyAccX" "time" "standarddeviation" -0.977229008297872
"91" 1 "sitting" "BodyAccY" "frequency" "mean" -0.944084550425532
"92" 1 "sitting" "BodyAccY" "frequency" "standarddeviation" -0.917275006382979
"93" 1 "sitting" "BodyAccY" "time" "mean" -0.00130828765170213
"94" 1 "sitting" "BodyAccY" "time" "standarddeviation" -0.922618641914894
"95" 1 "sitting" "BodyAccZ" "frequency" "mean" -0.959184889148936
"96" 1 "sitting" "BodyAccZ" "frequency" "standarddeviation" -0.934469558085106
"97" 1 "sitting" "BodyAccZ" "time" "mean" -0.104544182255319
"98" 1 "sitting" "BodyAccZ" "time" "standarddeviation" -0.93958629106383
"99" 1 "sitting" "BodyGyroJerkMag" "frequency" "mean" -0.989797547234043
"100" 1 "sitting" "BodyGyroJerkMag" "frequency" "standarddeviation" -0.987049617234043
"101" 1 "sitting" "BodyGyroJerkMag" "time" "mean" -0.991976341276596
"102" 1 "sitting" "BodyGyroJerkMag" "time" "standarddeviation" -0.988308728510638
"103" 1 "sitting" "BodyGyroJerkX" "time" "mean" -0.0936793807234043
"104" 1 "sitting" "BodyGyroJerkX" "time" "standarddeviation" -0.99173159212766
"105" 1 "sitting" "BodyGyroJerkY" "time" "mean" -0.0402118124255319
"106" 1 "sitting" "BodyGyroJerkY" "time" "standarddeviation" -0.989518068510638
"107" 1 "sitting" "BodyGyroJerkZ" "time" "mean" -0.046702627
"108" 1 "sitting" "BodyGyroJerkZ" "time" "standarddeviation" -0.987935806382979
"109" 1 "sitting" "BodyGyroMag" "frequency" "mean" -0.958435589361702
"110" 1 "sitting" "BodyGyroMag" "frequency" "standarddeviation" -0.932198374893617
"111" 1 "sitting" "BodyGyroMag" "time" "mean" -0.93089249
"112" 1 "sitting" "BodyGyroMag" "time" "standarddeviation" -0.934531840425532
"113" 1 "sitting" "BodyGyroX" "frequency" "mean" -0.976161464042553
"114" 1 "sitting" "BodyGyroX" "frequency" "standarddeviation" -0.977904227021277
"115" 1 "sitting" "BodyGyroX" "time" "mean" -0.045350056512766
"116" 1 "sitting" "BodyGyroX" "time" "standarddeviation" -0.977211283191489
"117" 1 "sitting" "BodyGyroY" "frequency" "mean" -0.975838585319149
"118" 1 "sitting" "BodyGyroY" "frequency" "standarddeviation" -0.962345042553192
"119" 1 "sitting" "BodyGyroY" "time" "mean" -0.0919241549361702
"120" 1 "sitting" "BodyGyroY" "time" "standarddeviation" -0.966473895319149
"121" 1 "sitting" "BodyGyroZ" "frequency" "mean" -0.951315544468085
"122" 1 "sitting" "BodyGyroZ" "frequency" "standarddeviation" -0.94391784106383
"123" 1 "sitting" "BodyGyroZ" "time" "mean" 0.0629313811914894
"124" 1 "sitting" "BodyGyroZ" "time" "standarddeviation" -0.941425920851064
"125" 1 "sitting" "GravityAccMag" "time" "mean" -0.948536786170213
"126" 1 "sitting" "GravityAccMag" "time" "standarddeviation" -0.927078418723404
"127" 1 "sitting" "GravityAccX" "time" "mean" 0.831509933404255
"128" 1 "sitting" "GravityAccX" "time" "standarddeviation" -0.968457145744681
"129" 1 "sitting" "GravityAccY" "time" "mean" 0.204411592680851
"130" 1 "sitting" "GravityAccY" "time" "standarddeviation" -0.935517055957447
"131" 1 "sitting" "GravityAccZ" "time" "mean" 0.332043702765957
"132" 1 "sitting" "GravityAccZ" "time" "standarddeviation" -0.949040933191489
"133" 1 "standing" "BodyAccJerkMag" "frequency" "mean" -0.99254247754717
"134" 1 "standing" "BodyAccJerkMag" "frequency" "standarddeviation" -0.992536003396226
"135" 1 "standing" "BodyAccJerkMag" "time" "mean" -0.992367790566038
"136" 1 "standing" "BodyAccJerkMag" "time" "standarddeviation" -0.993096209433962
"137" 1 "standing" "BodyAccJerkX" "frequency" "mean" -0.994630797358491
"138" 1 "standing" "BodyAccJerkX" "frequency" "standarddeviation" -0.995073759245283
"139" 1 "standing" "BodyAccJerkX" "time" "mean" 0.0753766542264151
"140" 1 "standing" "BodyAccJerkX" "time" "standarddeviation" -0.994604542264151
"141" 1 "standing" "BodyAccJerkY" "frequency" "mean" -0.985418704528302
"142" 1 "standing" "BodyAccJerkY" "frequency" "standarddeviation" -0.987018226792453
"143" 1 "standing" "BodyAccJerkY" "time" "mean" 0.00797573092830189
"144" 1 "standing" "BodyAccJerkY" "time" "standarddeviation" -0.98564873245283
"145" 1 "standing" "BodyAccJerkZ" "frequency" "mean" -0.990752166037736
"146" 1 "standing" "BodyAccJerkZ" "frequency" "standarddeviation" -0.992349818113208
"147" 1 "standing" "BodyAccJerkZ" "time" "mean" -0.00368524954709434
"148" 1 "standing" "BodyAccJerkZ" "time" "standarddeviation" -0.992251177358491
"149" 1 "standing" "BodyAccMag" "frequency" "mean" -0.985356361132075
"150" 1 "standing" "BodyAccMag" "frequency" "standarddeviation" -0.982313804716981
"151" 1 "standing" "BodyAccMag" "time" "mean" -0.984278207358491
"152" 1 "standing" "BodyAccMag" "time" "standarddeviation" -0.981942928867925
"153" 1 "standing" "BodyAccX" "frequency" "mean" -0.995249932641509
"154" 1 "standing" "BodyAccX" "frequency" "standarddeviation" -0.99602834509434
"155" 1 "standing" "BodyAccX" "time" "mean" 0.278917629056604
"156" 1 "standing" "BodyAccX" "time" "standarddeviation" -0.995759901509434
"157" 1 "standing" "BodyAccY" "frequency" "mean" -0.977070847735849
"158" 1 "standing" "BodyAccY" "frequency" "standarddeviation" -0.972293102075472
"159" 1 "standing" "BodyAccY" "time" "mean" -0.0161375901037736
"160" 1 "standing" "BodyAccY" "time" "standarddeviation" -0.973190056415094
"161" 1 "standing" "BodyAccZ" "frequency" "mean" -0.985297098679245
"162" 1 "standing" "BodyAccZ" "frequency" "standarddeviation" -0.977937259622642
"163" 1 "standing" "BodyAccZ" "time" "mean" -0.110601817735849
"164" 1 "standing" "BodyAccZ" "time" "standarddeviation" -0.979775876981132
"165" 1 "standing" "BodyGyroJerkMag" "frequency" "mean" -0.994815376981132
"166" 1 "standing" "BodyGyroJerkMag" "frequency" "standarddeviation" -0.994671123207547
"167" 1 "standing" "BodyGyroJerkMag" "time" "mean" -0.994966790566038
"168" 1 "standing" "BodyGyroJerkMag" "time" "standarddeviation" -0.994733238679245
"169" 1 "standing" "BodyGyroJerkX" "time" "mean" -0.0996092129056604
"170" 1 "standing" "BodyGyroJerkX" "time" "standarddeviation" -0.992945106981132
"171" 1 "standing" "BodyGyroJerkY" "time" "mean" -0.0440627877924528
"172" 1 "standing" "BodyGyroJerkY" "time" "standarddeviation" -0.995137917358491
"173" 1 "standing" "BodyGyroJerkZ" "time" "mean" -0.0489505466716981
"174" 1 "standing" "BodyGyroJerkZ" "time" "standarddeviation" -0.992108467169811
"175" 1 "standing" "BodyGyroMag" "frequency" "mean" -0.984617623396226
"176" 1 "standing" "BodyGyroMag" "frequency" "standarddeviation" -0.978466072075472
"177" 1 "standing" "BodyGyroMag" "time" "mean" -0.976493792830189
"178" 1 "standing" "BodyGyroMag" "time" "standarddeviation" -0.978690028679245
"179" 1 "standing" "BodyGyroX" "frequency" "mean" -0.986386786037736
"180" 1 "standing" "BodyGyroX" "frequency" "standarddeviation" -0.987497128679245
"181" 1 "standing" "BodyGyroX" "time" "mean" -0.0239877347979245
"182" 1 "standing" "BodyGyroX" "time" "standarddeviation" -0.987191946603774
"183" 1 "standing" "BodyGyroY" "frequency" "mean" -0.988984455849057
"184" 1 "standing" "BodyGyroY" "frequency" "standarddeviation" -0.987107727735849
"185" 1 "standing" "BodyGyroY" "time" "mean" -0.0593972209811321
"186" 1 "standing" "BodyGyroY" "time" "standarddeviation" -0.98773444
"187" 1 "standing" "BodyGyroZ" "frequency" "mean" -0.980773122830189
"188" 1 "standing" "BodyGyroZ" "frequency" "standarddeviation" -0.98234533
"189" 1 "standing" "BodyGyroZ" "time" "mean" 0.074800751
"190" 1 "standing" "BodyGyroZ" "time" "standarddeviation" -0.980645626981132
"191" 1 "standing" "GravityAccMag" "time" "mean" -0.984278207358491
"192" 1 "standing" "GravityAccMag" "time" "standarddeviation" -0.981942928867925
"193" 1 "standing" "GravityAccX" "time" "mean" 0.942952000377358
"194" 1 "standing" "GravityAccX" "time" "standarddeviation" -0.99376298509434
"195" 1 "standing" "GravityAccY" "time" "mean" -0.272983832264151
"196" 1 "standing" "GravityAccY" "time" "standarddeviation" -0.981225957924528
"197" 1 "standing" "GravityAccZ" "time" "mean" 0.0134905823226415
"198" 1 "standing" "GravityAccZ" "time" "standarddeviation" -0.976324063584906
"199" 1 "walking" "BodyAccJerkMag" "frequency" "mean" -0.0571194000343158
"200" 1 "walking" "BodyAccJerkMag" "frequency" "standarddeviation" -0.103492403002105
"201" 1 "walking" "BodyAccJerkMag" "time" "mean" -0.141428809031579
"202" 1 "walking" "BodyAccJerkMag" "time" "standarddeviation" -0.0744717500625263
"203" 1 "walking" "BodyAccJerkX" "frequency" "mean" -0.170546964549579
"204" 1 "walking" "BodyAccJerkX" "frequency" "standarddeviation" -0.133586606326316
"205" 1 "walking" "BodyAccJerkX" "time" "mean" 0.0740416333157895
"206" 1 "walking" "BodyAccJerkX" "time" "standarddeviation" -0.113615602435789
"207" 1 "walking" "BodyAccJerkY" "frequency" "mean" -0.0352255241130632
"208" 1 "walking" "BodyAccJerkY" "frequency" "standarddeviation" 0.106739857136
"209" 1 "walking" "BodyAccJerkY" "time" "mean" 0.0282721095884211
"210" 1 "walking" "BodyAccJerkY" "time" "standarddeviation" 0.0670025007684211
"211" 1 "walking" "BodyAccJerkZ" "frequency" "mean" -0.468999224631579
"212" 1 "walking" "BodyAccJerkZ" "frequency" "standarddeviation" -0.534713440421053
"213" 1 "walking" "BodyAccJerkZ" "time" "mean" -0.00416840617789474
"214" 1 "walking" "BodyAccJerkZ" "time" "standarddeviation" -0.502699788526316
"215" 1 "walking" "BodyAccMag" "frequency" "mean" -0.128623450629474
"216" 1 "walking" "BodyAccMag" "frequency" "standarddeviation" -0.398032586842105
"217" 1 "walking" "BodyAccMag" "time" "mean" -0.136971176556842
"218" 1 "walking" "BodyAccMag" "time" "standarddeviation" -0.219688645631579
"219" 1 "walking" "BodyAccX" "frequency" "mean" -0.202794306326316
"220" 1 "walking" "BodyAccX" "frequency" "standarddeviation" -0.319134719578947
"221" 1 "walking" "BodyAccX" "time" "mean" 0.277330758736842
"222" 1 "walking" "BodyAccX" "time" "standarddeviation" -0.283740258842105
"223" 1 "walking" "BodyAccY" "frequency" "mean" 0.0897127264021053
"224" 1 "walking" "BodyAccY" "frequency" "standarddeviation" 0.056040006846
"225" 1 "walking" "BodyAccY" "time" "mean" -0.0173838185273684
"226" 1 "walking" "BodyAccY" "time" "standarddeviation" 0.114461336747368
"227" 1 "walking" "BodyAccZ" "frequency" "mean" -0.331560117789474
"228" 1 "walking" "BodyAccZ" "frequency" "standarddeviation" -0.279686751494737
"229" 1 "walking" "BodyAccZ" "time" "mean" -0.111148103547368
"230" 1 "walking" "BodyAccZ" "time" "standarddeviation" -0.260027902210526
"231" 1 "walking" "BodyGyroJerkMag" "frequency" "mean" -0.319308593778947
"232" 1 "walking" "BodyGyroJerkMag" "frequency" "standarddeviation" -0.381601911789474
"233" 1 "walking" "BodyGyroJerkMag" "time" "mean" -0.298703679084211
"234" 1 "walking" "BodyGyroJerkMag" "time" "standarddeviation" -0.325324878894737
"235" 1 "walking" "BodyGyroJerkX" "time" "mean" -0.0899975423705263
"236" 1 "walking" "BodyGyroJerkX" "time" "standarddeviation" -0.207421854757895
"237" 1 "walking" "BodyGyroJerkY" "time" "mean" -0.0398428709463158
"238" 1 "walking" "BodyGyroJerkY" "time" "standarddeviation" -0.304468510631579
"239" 1 "walking" "BodyGyroJerkZ" "time" "mean" -0.0461309295021053
"240" 1 "walking" "BodyGyroJerkZ" "time" "standarddeviation" -0.404255452631579
"241" 1 "walking" "BodyGyroMag" "frequency" "mean" -0.199252568986316
"242" 1 "walking" "BodyGyroMag" "frequency" "standarddeviation" -0.321017953894737
"243" 1 "walking" "BodyGyroMag" "time" "mean" -0.160979552536842
"244" 1 "walking" "BodyGyroMag" "time" "standarddeviation" -0.186978364526316
"245" 1 "walking" "BodyGyroX" "frequency" "mean" -0.339032197115789
"246" 1 "walking" "BodyGyroX" "frequency" "standarddeviation" -0.516691938736842
"247" 1 "walking" "BodyGyroX" "time" "mean" -0.041830963526
"248" 1 "walking" "BodyGyroX" "time" "standarddeviation" -0.473535485894737
"249" 1 "walking" "BodyGyroY" "frequency" "mean" -0.103059416434737
"250" 1 "walking" "BodyGyroY" "frequency" "standarddeviation" -0.0335081597884211
"251" 1 "walking" "BodyGyroY" "time" "mean" -0.0695300462115789
"252" 1 "walking" "BodyGyroY" "time" "standarddeviation" -0.0546077686594737
"253" 1 "walking" "BodyGyroZ" "frequency" "mean" -0.255940940315789
"254" 1 "walking" "BodyGyroZ" "frequency" "standarddeviation" -0.436562227473684
"255" 1 "walking" "BodyGyroZ" "time" "mean" 0.0849448173042105
"256" 1 "walking" "BodyGyroZ" "time" "standarddeviation" -0.344266629473684
"257" 1 "walking" "GravityAccMag" "time" "mean" -0.136971176556842
"258" 1 "walking" "GravityAccMag" "time" "standarddeviation" -0.219688645631579
"259" 1 "walking" "GravityAccX" "time" "mean" 0.935223201473684
"260" 1 "walking" "GravityAccX" "time" "standarddeviation" -0.976609642526316
"261" 1 "walking" "GravityAccY" "time" "mean" -0.282165021263158
"262" 1 "walking" "GravityAccY" "time" "standarddeviation" -0.971305961473684
"263" 1 "walking" "GravityAccZ" "time" "mean" -0.068102864
"264" 1 "walking" "GravityAccZ" "time" "standarddeviation" -0.947717226105263
"265" 1 "walking downstairs" "BodyAccJerkMag" "frequency" "mean" 0.0262184949326531
"266" 1 "walking downstairs" "BodyAccJerkMag" "frequency" "standarddeviation" -0.104052260726531
"267" 1 "walking downstairs" "BodyAccJerkMag" "time" "mean" -0.0894474807979592
"268" 1 "walking downstairs" "BodyAccJerkMag" "time" "standarddeviation" -0.0257877197081633
"269" 1 "walking downstairs" "BodyAccJerkX" "frequency" "mean" -0.0276638676122449
"270" 1 "walking downstairs" "BodyAccJerkX" "frequency" "standarddeviation" -0.0863278966402041
"271" 1 "walking downstairs" "BodyAccJerkX" "time" "mean" 0.0541553164897959
"272" 1 "walking downstairs" "BodyAccJerkX" "time" "standarddeviation" -0.012283860544898
"273" 1 "walking downstairs" "BodyAccJerkY" "frequency" "mean" -0.12866715764898
"274" 1 "walking downstairs" "BodyAccJerkY" "frequency" "standarddeviation" -0.134580008877551
"275" 1 "walking downstairs" "BodyAccJerkY" "time" "mean" 0.0296504490408163
"276" 1 "walking downstairs" "BodyAccJerkY" "time" "standarddeviation" -0.101601390640816
"277" 1 "walking downstairs" "BodyAccJerkZ" "frequency" "mean" -0.288334735714286
"278" 1 "walking downstairs" "BodyAccJerkZ" "frequency" "standarddeviation" -0.401721464285714
"279" 1 "walking downstairs" "BodyAccJerkZ" "time" "mean" -0.0109719730183673
"280" 1 "walking downstairs" "BodyAccJerkZ" "time" "standarddeviation" -0.345735032326531
"281" 1 "walking downstairs" "BodyAccMag" "frequency" "mean" 0.0965845343040816
"282" 1 "walking downstairs" "BodyAccMag" "frequency" "standarddeviation" -0.186530301073469
"283" 1 "walking downstairs" "BodyAccMag" "time" "mean" 0.0271882914106122
"284" 1 "walking downstairs" "BodyAccMag" "time" "standarddeviation" 0.0198843506265306
"285" 1 "walking downstairs" "BodyAccX" "frequency" "mean" 0.0382291831510204
"286" 1 "walking downstairs" "BodyAccX" "frequency" "standarddeviation" 0.0243308391387755
"287" 1 "walking downstairs" "BodyAccX" "time" "mean" 0.289188320408163
"288" 1 "walking downstairs" "BodyAccX" "time" "standarddeviation" 0.0300353383483878
"289" 1 "walking downstairs" "BodyAccY" "frequency" "mean" 0.00154990783591837
"290" 1 "walking downstairs" "BodyAccY" "frequency" "standarddeviation" -0.112963739953061
"291" 1 "walking downstairs" "BodyAccY" "time" "mean" -0.00991850461020408
"292" 1 "walking downstairs" "BodyAccY" "time" "standarddeviation" -0.0319359434489796
"293" 1 "walking downstairs" "BodyAccZ" "frequency" "mean" -0.225574471693878
"294" 1 "walking downstairs" "BodyAccZ" "frequency" "standarddeviation" -0.297927894693878
"295" 1 "walking downstairs" "BodyAccZ" "time" "mean" -0.107566190908163
"296" 1 "walking downstairs" "BodyAccZ" "time" "standarddeviation" -0.230434213204082
"297" 1 "walking downstairs" "BodyGyroJerkMag" "frequency" "mean" -0.281963359177551
"298" 1 "walking downstairs" "BodyGyroJerkMag" "frequency" "standarddeviation" -0.391919876612245
"299" 1 "walking downstairs" "BodyGyroJerkMag" "time" "mean" -0.295463843346939
"300" 1 "walking downstairs" "BodyGyroJerkMag" "time" "standarddeviation" -0.306510645530612
"301" 1 "walking downstairs" "BodyGyroJerkX" "time" "mean" -0.0739592036271429
"302" 1 "walking downstairs" "BodyGyroJerkX" "time" "standarddeviation" -0.487027342244898
"303" 1 "walking downstairs" "BodyGyroJerkY" "time" "mean" -0.0439902783367347
"304" 1 "walking downstairs" "BodyGyroJerkY" "time" "standarddeviation" -0.238824827530612
"305" 1 "walking downstairs" "BodyGyroJerkZ" "time" "mean" -0.0270461061061224
"306" 1 "walking downstairs" "BodyGyroJerkZ" "time" "standarddeviation" -0.268761480242857
"307" 1 "walking downstairs" "BodyGyroMag" "frequency" "mean" -0.185720285744898
"308" 1 "walking downstairs" "BodyGyroMag" "frequency" "standarddeviation" -0.398350390122449
"309" 1 "walking downstairs" "BodyGyroMag" "time" "mean" -0.0757412543673469
"310" 1 "walking downstairs" "BodyGyroMag" "time" "standarddeviation" -0.225724368061224
"311" 1 "walking downstairs" "BodyGyroX" "frequency" "mean" -0.352449631363265
"312" 1 "walking downstairs" "BodyGyroX" "frequency" "standarddeviation" -0.495422486102041
"313" 1 "walking downstairs" "BodyGyroX" "time" "mean" -0.0350781902989796
"314" 1 "walking downstairs" "BodyGyroX" "time" "standarddeviation" -0.458030542938775
"315" 1 "walking downstairs" "BodyGyroY" "frequency" "mean" -0.0557022524693878
"316" 1 "walking downstairs" "BodyGyroY" "frequency" "standarddeviation" -0.181414728657143
"317" 1 "walking downstairs" "BodyGyroY" "time" "mean" -0.0909371290204082
"318" 1 "walking downstairs" "BodyGyroY" "time" "standarddeviation" -0.126349194938775
"319" 1 "walking downstairs" "BodyGyroZ" "frequency" "mean" -0.0318694271979592
"320" 1 "walking downstairs" "BodyGyroZ" "frequency" "standarddeviation" -0.238443565306122
"321" 1 "walking downstairs" "BodyGyroZ" "time" "mean" 0.0900850142030612
"322" 1 "walking downstairs" "BodyGyroZ" "time" "standarddeviation" -0.124702454242857
"323" 1 "walking downstairs" "GravityAccMag" "time" "mean" 0.0271882914106122
"324" 1 "walking downstairs" "GravityAccMag" "time" "standarddeviation" 0.0198843506265306
"325" 1 "walking downstairs" "GravityAccX" "time" "mean" 0.931874418979592
"326" 1 "walking downstairs" "GravityAccX" "time" "standarddeviation" -0.950559811632653
"327" 1 "walking downstairs" "GravityAccY" "time" "mean" -0.266610338979592
"328" 1 "walking downstairs" "GravityAccY" "time" "standarddeviation" -0.937018658979592
"329" 1 "walking downstairs" "GravityAccZ" "time" "mean" -0.0621199585938775
"330" 1 "walking downstairs" "GravityAccZ" "time" "standarddeviation" -0.895939695102041
"331" 1 "walking upstairs" "BodyAccJerkMag" "frequency" "mean" -0.44265216245283
"332" 1 "walking upstairs" "BodyAccJerkMag" "frequency" "standarddeviation" -0.533059853773585
"333" 1 "walking upstairs" "BodyAccJerkMag" "time" "mean" -0.466503446226415
"334" 1 "walking upstairs" "BodyAccJerkMag" "time" "standarddeviation" -0.478991622075472
"335" 1 "walking upstairs" "BodyAccJerkX" "frequency" "mean" -0.479875245660377
"336" 1 "walking upstairs" "BodyAccJerkX" "frequency" "standarddeviation" -0.461907025849057
"337" 1 "walking upstairs" "BodyAccJerkX" "time" "mean" 0.101372729922642
"338" 1 "walking upstairs" "BodyAccJerkX" "time" "standarddeviation" -0.446843887735849
"339" 1 "walking upstairs" "BodyAccJerkY" "frequency" "mean" -0.41344458754717
"340" 1 "walking upstairs" "BodyAccJerkY" "frequency" "standarddeviation" -0.381777065283019
"341" 1 "walking upstairs" "BodyAccJerkY" "time" "mean" 0.0194863076188679
"342" 1 "walking upstairs" "BodyAccJerkY" "time" "standarddeviation" -0.378274426037736
"343" 1 "walking upstairs" "BodyAccJerkZ" "frequency" "mean" -0.685474353962264
"344" 1 "walking upstairs" "BodyAccJerkZ" "frequency" "standarddeviation" -0.726040200754717
"345" 1 "walking upstairs" "BodyAccJerkZ" "time" "mean" -0.0455625449113208
"346" 1 "walking upstairs" "BodyAccJerkZ" "time" "standarddeviation" -0.706593530943396
"347" 1 "walking upstairs" "BodyAccMag" "frequency" "mean" -0.352395944716981
"348" 1 "walking upstairs" "BodyAccMag" "frequency" "standarddeviation" -0.416260101509434
